CHRG_DESC,PREM_DESC,ADDRESS,LAT_LONG,DATETIME,DOW,DISTRICT,CASE_NUMBER
INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,44 ORANGE ST,"41.3039343, -72.9255795",2019-09-04T23:40:00Z,WED,1,19035704
LARCENY,STREET/HIGHWAY/ALLEYWAY,500 CHAPEL ST,"41.3035556, -72.9151077",2019-09-02T16:51:00Z,MON,1,19035364
LARCENY,STREET/HIGHWAY/ALLEYWAY,CHAPEL ST & UNION ST,"41.30431859999999, -72.9216111",2019-09-04T22:37:00Z,WED,1,19035698
LARCENY,PARKING LOT/GARAGE,62 LYON ST,"41.308416, -72.9171957",2019-09-06T12:03:00Z,FRI,1,19035935
BURGLARY,RESIDENCE/HOME,400 BLAKE ST,"41.3283587, -72.956985",2019-09-06T19:30:00Z,FRI,2,19036012
LARCENY,STREET/HIGHWAY/ALLEYWAY,198 LAWNCREST RD,"41.3325256, -72.9820067",2019-09-03T08:07:00Z,TUE,2,19035423
MOTOR VEHICLE THEFT,RESIDENCE/HOME,1033 WHALLEY AVE,"41.3290534, -72.9640958",2019-09-02T09:48:00Z,MON,2,19035330
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,37 HILLTOP RD,"41.3373293, -72.9701895",2019-09-05T07:17:00Z,THU,2,19035717
BURGLARY,RESIDENCE/HOME,533 HOWARD AVE,"41.2957298, -72.9333929",2019-09-02T01:04:00Z,MON,3,19035300
LARCENY,STREET/HIGHWAY/ALLEYWAY,135 SPRING ST,"41.2941866, -72.9348218",2019-09-04T11:34:00Z,WED,3,19035608
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,58 LIBERTY ST,"41.2968931, -72.93057689999999",2019-09-03T10:37:00Z,TUE,3,19035433
MOTOR VEHICLE THEFT,RESIDENCE/HOME,111 BUTTON ST,"41.2942078, -72.9367135",2019-09-04T09:05:00Z,WED,3,19035577
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,1492 CHAPEL ST,"41.3113184, -72.9456414",2019-09-06T18:35:00Z,FRI,4,19036011
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,59 KENSINGTON ST,"41.3118888, -72.9392512",2019-09-03T23:26:00Z,TUE,4,19035540
LARCENY,STREET/HIGHWAY/ALLEYWAY,1150 CHAPEL ST,"41.3084694, -72.932546",2019-09-06T09:32:00Z,FRI,4,19035209
ROBBERY,STREET/HIGHWAY/ALLEYWAY,88 BROADWAY,"41.3122006, -72.9324094",2019-09-03T11:18:00Z,TUE,4,19035449
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,210 DAVENPORT AVE,"41.3016324, -72.94073",2019-09-08T07:06:00Z,SUN,5,19036236
ROBBERY,RESIDENCE/HOME,27 ELLIOTT ST,"41.3028988, -72.9405061",2019-09-03T17:55:00Z,TUE,5,19035496
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,219 ASHMUN ST,"41.3181009, -72.929458",2019-09-04T20:06:00Z,WED,6,19035682
BURGLARY,RESIDENCE/HOME,265 W IVY ST,"41.3310046, -72.9369904",2019-09-07T05:40:00Z,SAT,7,19036075
BURGLARY,RESIDENCE/HOME,169 BUTLER ST,"41.3344794, -72.92905429999999",2019-09-08T11:46:00Z,SUN,7,19036268
BURGLARY,RESIDENCE/HOME,205 SHEFFIELD AVE,"41.329292, -72.924751",2019-09-08T21:29:00Z,SUN,7,19036340
LARCENY,PARKING LOT/GARAGE,257 WILLOW ST,"41.3226017, -72.9124818",2019-09-05T08:16:00Z,THU,7,19035725
ROBBERY,CONVENIENCE STORE,706 DIXWELL AVE,"41.3323765, -72.9354832",2019-09-05T17:00:00Z,THU,7,19035259
