,CASE#,CHRG_DESC,PREM_DESC,ADDRESS,DATE,TIME,DOW,DIST,CASE_NUM,DIST`,CASE_NU,CASE_#
0,20014836.0,MOTOR VEHICLE THEFT (NH,TSETARLE)ET/HIGHWAY/ALLEYWAY,196 CROWN ST,20200406,1815,MON,1.0,,,,
1,20014899.0,BURGLARY-BREAKING & ENT,CROINMGMERCIAL/OFFICE BLDG,506 STATE ST,20200407,1432,TUE,1.0,,,,
2,20014928.0,MOTOR VEHICLE THEFT (NH,TSETARLE)ET/HIGHWAY/ALLEYWAY,170 TEMPLE ST,20200407,1918,TUE,1.0,,,,
3,20014980.0,MOTOR VEHICLE THEFT (NH,TREANLT)AL STORAGE FACILITY,83 WATER ST,20200408,2019,WED,1.0,,,,
4,20015075.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,205 CHURCH ST,20200410,900,FRI,1.0,,,,
5,20015078.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,205 CHURCH ST,20200410,1051,FRI,1.0,,,,
6,20015079.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,STATE ST & WALL ST,20200410,1113,FRI,1.0,,,,
7,20015157.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,158 FITCH STREET,20200411,707,SAT,2.0,,,,
8,20014816.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,128 E RAMSDELL ST,20200406,1458,MON,2.0,,,,
9,20014895.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,111 S GENESEE ST,20200407,1244,TUE,2.0,,,,
10,20015157.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,158 FITCH STREET,20200411,707,SAT,2.0,,,,
11,20015215.0,MOTOR VEHICLE THEFT (NH STEAL),CONVENIENCE STORE,801 WHALLEY AVE,20200411,2053,SAT,2.0,,,,
12,20015069.0,BURGLARY-BREAKING & ENTERING,COMMERCIAL/OFFICE BLDG,294 KIMBERLY AVE,20200410,306,FRI,3.0,,,,
13,20015133.0,AGGRAVATED ASSAULT,RESIDENCE/HOME,"138 CARLISLE ST, FL03",20200410,2106,FRI,3.0,,,,
14,20014802.0,INTIMIDATION WITH A WEAPON,RESIDENCE/HOME,"154 FRANK ST, FL01",20200407,1131,TUE,3.0,,,,
15,20014804.0,AGGRAVATED ASSAULT,RESIDENCE/HOME,"154 FRANK ST, FL01",20200407,1141,TUE,3.0,,,,
16,20014987.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,245 HALLOCK AVE,20200408,1856,WED,3.0,,,,
17,20014848.0,AGGRAVATED ASSAULT,RESIDENCE/HOME,474 ELM ST,20200406,2033,MON,4.0,,,,
18,20014859.0,FIREARM DISCHARGE (WEAPON,LRAEWSI DVEIONLCAET/HIONM)E,705 GEORGE ST,20200406,2226,MON,4.0,,,,
19,20014945.0,MOTOR VEHICLE THEFT (NH ST,APAL)RKING LOT / GARAGE,250 WHALLEY AVE,20200408,613,WED,4.0,,,,
20,20015006.0,BURGLARY-BREAKING & ENTER,CNOGMMERCIAL/OFFICE BLDG,105 DERBY AVE,20200409,604,THU,4.0,,,,
21,20014915.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,DAVENPORT AVE & ELLIOTT ST,20200407,1711,TUE,5.0,,,,
22,20014830.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,"449 COLUMBUS AVE, FL03",20200406,1723,MON,5.0,,,,
